sample_id,model_name,task_type,description,actions,expected_result
1,process_103.bpmn,legality,legality_small_true,vienna_night_run_participation_application_started_(1),True
2,process_103.bpmn,legality,legality_small_false,"vienna_night_run_participation_application_started_(1);select_starting_block(start,1);select_starting_block(end,1);check_registration(start,1);check_registration(end,1,yes)",False
3,process_103.bpmn,legality,legality_large_true,"vienna_night_run_participation_application_started_(1);check_registration(start,1);check_registration(end,1,yes);select_starting_block(start,1);select_starting_block(end,1);run(start,1);run(end,1);measure_the_time(start,1);measure_the_time(end,1);check_the_time_invested(start,1);check_the_time_invested(end,1,yes);get_starting_number(start,1);get_starting_number(end,1)",True
4,process_103.bpmn,legality,legality_large_false,"vienna_night_run_participation_application_started_(1);request_a_registration_in_the_app(start,1);request_a_registration_in_the_app(end,1)",False
5,process_103.bpmn,conformance,conformance_small_true,"vienna_night_run_participation_application_started_(1);acquire(1, main_process);check_registration(start,1);check_registration(end,1,yes);select_starting_block(start,1);select_starting_block(end,1)",True
6,process_103.bpmn,conformance,conformance_small_false,"vienna_night_run_participation_application_started_(1);acquire(1, main_process);select_starting_block(start,1);select_starting_block(end,1);check_registration(start,1);check_registration(end,1,yes)",False
7,process_103.bpmn,conformance,conformance_large_true,"vienna_night_run_participation_application_started_(1);acquire(1, main_process);check_registration(start,1);check_registration(end,1,no)",True
8,process_103.bpmn,conformance,conformance_large_false,"vienna_night_run_participation_application_started_(1);acquire(1, main_process);select_starting_block(start,1);select_starting_block(end,1);check_registration(start,1);check_registration(end,1,yes);run(start,1);run(end,1);measure_the_time(start,1);measure_the_time(end,1);check_the_time_invested(start,1);check_the_time_invested(end,1,yes);get_starting_number(start,1);get_starting_number(end,1)",False
9,process_25.bpmn,legality,legality_small_true,"application_window_open(1);enter_topic(start,1);enter_topic(end,1);enter_hobbies(start,1);enter_hobbies(end,1)",True
10,process_25.bpmn,legality,legality_small_false,"application_window_open(1);enter_hobbies(start,1);enter_hobbies(end,1);enter_topic(start,1);enter_topic(end,1);specify_wage_(start,1);specify_wage_(end,1)",False
11,process_25.bpmn,legality,legality_large_true,"application_window_open(1);enter_topic(start,1);enter_topic(end,1);enter_hobbies(start,1);enter_hobbies(end,1);specify_wage_(start,1);specify_wage_(end,1);enter_experience_(start,1);enter_experience_(end,1);apply(start,1);apply(end,1);recieve_offer(start,1);recieve_offer(end,1,yes)",True
12,process_25.bpmn,legality,legality_large_false,"application_window_open(1);enter_hobbies(start,1);enter_hobbies(end,1);enter_topic(start,1);enter_topic(end,1);specify_wage_(start,1);specify_wage_(end,1);enter_experience_(start,1);enter_experience_(end,1);apply(start,1);apply(end,1);recieve_offer(start,1);recieve_offer(end,1,yes);set_all_other_offers_invalid(start,1);set_all_other_offers_invalid(end,1)",False
13,process_25.bpmn,conformance,conformance_small_true,"application_window_open(1);acquire(1, main_process);enter_topic(start,1);enter_topic(end,1);enter_hobbies(start,1);enter_hobbies(end,1)",True
14,process_25.bpmn,conformance,conformance_small_false,"application_window_open(1);acquire(1, main_process);enter_hobbies(start,1);enter_hobbies(end,1);enter_topic(start,1);enter_topic(end,1);specify_wage_(start,1);specify_wage_(end,1)",False
15,process_25.bpmn,conformance,conformance_large_true,"application_window_open(1);acquire(1, main_process);enter_topic(start,1);enter_topic(end,1);enter_hobbies(start,1);enter_hobbies(end,1);specify_wage_(start,1);specify_wage_(end,1);enter_experience_(start,1);enter_experience_(end,1);apply(start,1);apply(end,1);recieve_offer(start,1);recieve_offer(end,1,yes)",True
16,process_25.bpmn,conformance,conformance_large_false,"application_window_open(1);acquire(1, main_process);enter_hobbies(start,1);enter_hobbies(end,1);enter_topic(start,1);enter_topic(end,1);specify_wage_(start,1);specify_wage_(end,1);enter_experience_(start,1);enter_experience_(end,1);apply(start,1);apply(end,1);recieve_offer(start,1);recieve_offer(end,1,yes);set_all_other_offers_invalid(start,1);set_all_other_offers_invalid(end,1)",False
17,process_90.bpmn,legality,legality_small_true,"receiving_an_order_(1);display_options(start,1);display_options(end,1);select_supplement(start,1);select_supplement(end,1)",True
18,process_90.bpmn,legality,legality_small_false,"receiving_an_order_(1);select_supplement(start,1);select_supplement(end,1);display_options(start,1);display_options(end,1)",False
19,process_90.bpmn,legality,legality_large_true,"receiving_an_order_(1);display_options(start,1);display_options(end,1);select_supplement(start,1);select_supplement(end,1,Wedges);prepare_wedges(start,1);prepare_wedges(end,1);select_drink(start,1);select_drink(end,1);select_size_of_the_drink(start,1);select_size_of_the_drink(end,1,Large)",True
20,process_90.bpmn,legality,legality_large_false,"receiving_an_order_(1);select_supplement(start,1);select_supplement(end,1);display_options(start,1);display_options(end,1);select_drink(start,1);select_drink(end,1);select_size_of_the_drink(start,1);select_size_of_the_drink(end,1,Small);prepare_small_drink(start,1);prepare_small_drink(end,1)",False
21,process_90.bpmn,conformance,conformance_small_true,"receiving_an_order_(1);acquire(1, main_process);display_options(start,1);display_options(end,1);select_supplement(start,1);select_supplement(end,1,Wedges)",True
22,process_90.bpmn,conformance,conformance_small_false,"receiving_an_order_(1);acquire(1, main_process)",False
